Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,date_num,date
ID20230117235328391000,1,5,0.00868055555569,20.6870002747,22.5,1.81299972534,21.6559997559,0.722055625417,108.279998779,20140701,2014-07-01
ID20230117235328391000,1,5,0.00868055555569,16.2989997864,18.7509994507,2.45199966431,17.5559997559,1.03614638609,87.7799987793,20140601,2014-06-01
ID20230117235328391000,1,5,0.00868055555569,16.0510005951,18.3799991608,2.32899856567,17.2560001373,0.966354732689,86.2800006866,20140602,2014-06-02
ID20230117235328391000,1,5,0.00868055555569,19.4759998322,21.7719993591,2.29599952698,20.6349998474,0.978073957781,103.174999237,20140603,2014-06-03
ID20230117235328391000,1,5,0.00868055555569,17.2439994812,19.4799995422,2.23600006104,18.367999649,0.924029570079,91.8399982452,20140604,2014-06-04
ID20230117235328391000,1,5,0.00868055555569,17.8920001984,20.1959991455,2.30399894714,19.0565998077,0.912032893968,95.2829990387,20140605,2014-06-05
ID20230117235328391000,1,5,0.00868055555569,17.6550006866,19.8789997101,2.22399902344,18.7958000183,0.902792903912,93.9790000916,20140606,2014-06-06
ID20230117235328391000,1,5,0.00868055555569,16.4729995728,18.6909999847,2.21800041199,17.6347999573,0.850092190832,88.1739997864,20140607,2014-06-07
ID20230117235328391000,1,5,0.00868055555569,16.0860004425,18.3859996796,2.29999923706,17.3091999054,0.84178502464,86.545999527,20140608,2014-06-08
ID20230117235328391000,1,5,0.00868055555569,17.7689990997,20.0699996948,2.30100059509,18.9824001312,0.854846803783,94.9120006561,20140609,2014-06-09
ID20230117235328391000,1,5,0.00868055555569,19.0900001526,21.2870006561,2.19700050354,20.2743999481,0.841443143898,101.371999741,20140610,2014-06-10
ID20230117235328391000,1,5,0.00868055555569,16.7989997864,18.966999054,2.16799926758,17.9453998566,0.837663478981,89.7269992828,20140611,2014-06-11
ID20230117235328391000,1,5,0.00868055555569,18.422000885,20.6770000458,2.25499916077,19.6082000732,0.849318403859,98.0410003662,20140612,2014-06-12
ID20230117235328391000,1,5,0.00868055555569,19.888999939,22.0900001526,2.20100021362,21.1281997681,0.829295442686,105.64099884,20140613,2014-06-13
ID20230117235328391000,1,5,0.00868055555569,8.43099975586,10.5780000687,2.14700031281,9.64519996643,0.741079373379,48.2259998322,20140614,2014-06-14
ID20230117235328391000,1,5,0.00868055555569,9.64799976349,11.5620002747,1.91400051117,10.5805999756,0.739538256859,52.9029998779,20140615,2014-06-15
ID20230117235328391000,1,5,0.00868055555569,9.97900009155,11.9259996414,1.94699954987,11.0850000381,0.700558839822,55.4250001907,20140616,2014-06-16
ID20230117235328391000,1,5,0.00868055555569,6.35599994659,8.28499984741,1.92899990082,7.38459997177,0.751667143733,36.9229998589,20140617,2014-06-17
ID20230117235328391000,1,5,0.00868055555569,5.38199996948,7.4470000267,2.06500005722,6.43020009995,0.774739066514,32.1510004997,20140618,2014-06-18
ID20230117235328391000,1,5,0.00868055555569,7.66200017929,9.3079996109,1.64599943161,8.69659986496,0.552145695326,43.4829993248,20140619,2014-06-19
